iter	Passed	Remaining
900	7268	798
901	7274	790
902	7279	781
903	7284	773
904	7290	765
905	7298	757
906	7310	749
907	7319	741
908	7328	733
909	7334	725
910	7339	717
911	7344	708
912	7350	700
913	7355	692
914	7361	683
915	7367	675
916	7373	667
917	7378	659
918	7382	650
919	7386	642
920	7391	634
921	7395	625
922	7400	617
923	7404	609
924	7408	600
925	7413	592
926	7417	584
927	7422	575
928	7427	567
929	7433	559
930	7439	551
931	7445	543
932	7454	535
933	7461	527
934	7466	519
935	7471	510
936	7475	502
937	7480	494
938	7484	486
939	7489	478
940	7493	469
941	7500	461
942	7506	453
943	7512	445
944	7518	437
945	7523	429
946	7529	421
947	7534	413
948	7540	405
949	7547	397
950	7553	389
951	7559	381
952	7565	373
953	7572	365
954	7577	357
955	7584	349
956	7590	341
957	7596	333
958	7602	325
959	7608	317
960	7612	308
961	7618	300
962	7622	292
963	7628	284
964	7632	276
965	7637	268
966	7641	260
967	7645	252
968	7650	244
969	7654	236
970	7658	228
971	7663	220
972	7667	212
973	7672	204
974	7677	196
975	7682	188
976	7687	180
977	7693	173
978	7698	165
979	7703	157
980	7708	149
981	7715	141
982	7720	133
983	7728	125
984	7733	117
985	7740	109
986	7744	102
987	7749	94
988	7754	86
989	7759	78
990	7764	70
991	7769	62
992	7773	54
993	7778	46
994	7783	39
995	7788	31
996	7794	23
997	7808	15
998	7823	7
999	7828	0
